FIPS
1031
2261
4027
5029
6063
8001
9001
10003
12023
13105
15009
16077
17167
18175
19015
20175
21231
22085
23009
24025
25005
26027
27059
28131
29035
30035
31081
32015
33009
34039
35037
36019
37145
38051
39125
40055
41015
42131
44007
20073
46127
47183
48033
49023
50013
51137
53055
54099
55009
56019
